seqno,type,city,countycode,name,address,number,localcallservice
172,連鎖型綠色商店,新北市,65000,7-11艾科卡門市,221新北市汐止區茄苳路196號,F001365,02-27478711#3961
173,連鎖型綠色商店,新北市,65000,7-11艾德蒙門市,235新北市中和區中正路736號,F001068,02-27478711#3961
174,連鎖型綠色商店,新北市,65000,7-11西盛門市,242新北市新莊區民安西路113號之1,F000992,02-27478711#3961
175,連鎖型綠色商店,新北市,65000,7-11西堤門市,243新北市泰山區中山路二段476號,F001636,02-27478711#3961
176,連鎖型綠色商店,新北市,65000,7-11西雅圖門市,249新北市八里區中山路2段276號,F001337,02-27478711#3961
177,連鎖型綠色商店,新北市,65000,7-11佑容門市,220新北市板橋區五權里五權街49.51號.,F001238,02-27478711#3961
178,連鎖型綠色商店,新北市,65000,7-11伯爵門市,221新北市汐止區明峰街12號,F001379,02-27478711#3961
179,連鎖型綠色商店,新北市,65000,7-11利客來門市,248新北市五股區成泰路3段419號,F001150,02-27478711#3961
180,連鎖型綠色商店,新北市,65000,7-11利璋門市,251新北市淡水區新興街64號,F001288,02-27478711#3961
181,連鎖型綠色商店,新北市,65000,7-11孝忠門市,235新北市中和區忠孝街37巷2號,F001473,02-27478711#3961
182,連鎖型綠色商店,新北市,65000,7-11宏全門市,242新北市新莊區中和街61號,F001094,02-27478711#3961
183,連鎖型綠色商店,新北市,65000,7-11宏圖門市,234新北市永和區永和路一段85號,F001535,02-27478711#3961
184,連鎖型綠色商店,新北市,65000,7-11宏福門市,242新北市新莊區公園一路38號,F001200,02-27478711#3961
185,連鎖型綠色商店,新北市,65000,7-11宏懋門市,242新北市新莊區民安里18鄰民安西路58號1樓,F000536,02-27478711#3961
186,連鎖型綠色商店,新北市,65000,7-11宏禧門市,235新北市中和區景平路429號1樓,F001035,02-27478711#3961
187,連鎖型綠色商店,新北市,65000,7-11宏鑫門市,235新北市中和區中正路837號,F001276,02-27478711#3961
188,連鎖型綠色商店,新北市,65000,7-11廷寮門市,236新北市土城區清水路237號,F000933,02-27478711#3961
189,連鎖型綠色商店,新北市,65000,7-11志一門市,235新北市中和區自立路16號,F001552,02-27478711#3961
190,連鎖型綠色商店,新北市,65000,7-11志城門市,236新北市土城區金城路三段249.251號,F001541,02-27478711#3961
191,連鎖型綠色商店,新北市,65000,7-11秀峰門市,221新北市汐止區秀峰路60號,F001161,02-27478711#3961
192,連鎖型綠色商店,新北市,65000,7-11秀朗門市,234新北市永和區得和路377號,F001609,02-27478711#3961
193,連鎖型綠色商店,新北市,65000,7-11秀景門市,235新北市中和區成功南路115.117號,F001338,02-27478711#3961
194,連鎖型綠色商店,新北市,65000,7-11貝比門市,244新北市林口區湖南村8鄰頭湖70-9號,F001277,02-27478711#3961
195,連鎖型綠色商店,新北市,65000,7-11車路頭門市,241新北市三重區車頭街135號.,F001014,02-27478711#3961
196,連鎖型綠色商店,新北市,65000,7-11那魯灣門市,233新北市烏來區烏來村溫泉街80號,F001135,02-27478711#3961
197,連鎖型綠色商店,新北市,65000,7-11亞苑門市,220新北市板橋區四川路2段51號,F000932,02-27478711#3961
198,連鎖型綠色商店,新北市,65000,7-11亞醫門市,220新北市板橋區南雅南路二段21號(亞東醫院內),F001058,02-27478711#3961
199,連鎖型綠色商店,新北市,65000,7-11佳宏門市,238新北市樹林區太平路150巷1號,F001092,02-27478711#3961
200,連鎖型綠色商店,新北市,65000,7-11佳辰門市,238新北市樹林區佳園路三段488號,F001639,02-27478711#3961
201,連鎖型綠色商店,新北市,65000,7-11佳林門市,244新北市林口區林口路197號,F000939,02-27478711#3961
202,連鎖型綠色商店,新北市,65000,7-11佳客門市,235新北市中和區民德路126.126之1號,F001145,02-27478711#3961
203,連鎖型綠色商店,新北市,65000,7-11佳園門市,238新北市樹林區佳園路三段103號,F001631,02-27478711#3961
204,連鎖型綠色商店,新北市,65000,7-11佳福門市,236新北市土城區青雲路152號,F001432,02-27478711#3961
205,連鎖型綠色商店,新北市,65000,7-11來峰門市,248新北市五股區成泰路一段157號,F001345,02-27478711#3961
206,連鎖型綠色商店,新北市,65000,7-11來鑫門市,233新北市烏來區忠治村堰堤.9.11號,F001211,02-27478711#3961
207,連鎖型綠色商店,新北市,65000,7-11協元門市,251新北市淡水區中山路188號,F001467,02-27478711#3961
208,連鎖型綠色商店,新北市,65000,7-11和川門市,228新北市貢寮區延平街63號,F000571,02-27478711#3961
209,連鎖型綠色商店,新北市,65000,7-11和和門市,234新北市永和區秀朗路2段128號,F001442,02-27478711#3961
210,連鎖型綠色商店,新北市,65000,7-11和復門市,235新北市中和區復興路19號,F001561,02-27478711#3961
211,連鎖型綠色商店,新北市,65000,7-11和華門市,247新北市蘆洲區正和街28號,F001197,02-27478711#3961
212,連鎖型綠色商店,新北市,65000,7-11和錦門市,235新北市中和區錦和路406、410號,F001087,02-27478711#3961
213,連鎖型綠色商店,新北市,65000,7-11和醫門市,235新北市中和區中正路291號B1,F001402,02-27478711#3961
214,連鎖型綠色商店,新北市,65000,7-11坪林門市,232新北市坪林區水柳腳路159號,F001062,02-27478711#3961
215,連鎖型綠色商店,新北市,65000,7-11坤耀門市,220新北市板橋區南門街39號1F,F001401,02-27478711#3961
